_key,_pt-br,_en-us
,,
_button,Botão,Button
_pressToStart,Aperte      /       para começar,Press     /        to start
_pause,Pause,Pause
_resume,Continuar,Resume
_options,Opções,Options
_backToMenu,Voltar ao menu,Back to menu
_sensibility,Sensibilidade,Sensitivity
_language,Idioma,Language
_restoreDefault,Restaurar padrões,Restore default
_back,Voltar,Back
_currentLanguage,Português,English
_areYouSure,Tem certeza ?,Are you sure ?
_yes,Sim,Yes
_no,Não,No
_tutorialMove,Use        /       para se mover,Use        /           to move
_tutorialJump,Use        /       para pular,Use        /           to jump
_tutorialShoot,Use        /       para disparar agua,Use        /        to shoot water<br>  
_tutorialAttack,Use        /       para bater com o machado,Use        /       to hit with the axe<br> 
_tutorialPutOut,Apague o inimigo com a mangueira,Put out the enemy with the hose
_tutorialDestroy,Destrua o inimigo com o machado,Destroy the enemy with the axe
_tutorialWaterOnAir,Use a mangueira no ar para planar,Use the hose in the air to glide
_healthUpgrade,Vida maxima aumentada,Max health increased
_waterUpgrade,Capacidade do tanque aumentada,Tank capacity increased
_gameplay,Jogabilidade,Gameplay
_audio,Áudio,Audio
_invert,Inverter,Invert
_master,Mestre,Master
_sfx,Efeitos sonoros,Sound effects
_music,Musica,Music
_play,Jogar,Play
_loading,Carregando,Loading